,Unnamed: 0,Cidade,data,confirmados_por_100k,taxa_de_morte
379,4643,Florianópolis,2020-05-11,77.04009,0.0153
380,4649,Governador Celso Ramos,2020-05-11,143.77653,0.0
381,4696,Palhoça,2020-05-11,21.11005,0.027000000000000003
382,4729,Santo Amaro da Imperatriz,2020-05-11,21.20531,0.0
383,4740,São José,2020-05-11,26.78061,0.0149
384,4769,Águas Mornas,2020-05-11,15.24623,0.0
385,4775,Antônio Carlos,2020-05-12,208.98642,0.2222
386,4790,Biguaçu,2020-05-12,11.51311,0.0
387,4812,Florianópolis,2020-05-12,78.21927,0.0151
388,4818,Governador Celso Ramos,2020-05-12,143.77653,0.0
389,4866,Palhoça,2020-05-12,21.11005,0.027000000000000003
390,4899,Santo Amaro da Imperatriz,2020-05-12,21.20531,0.0
391,4910,São José,2020-05-12,26.78061,0.0149
392,4939,Águas Mornas,2020-05-12,15.24623,0.0
393,4945,Antônio Carlos,2020-05-13,208.98642,0.2222
394,4960,Biguaçu,2020-05-13,12.95225,0.0
395,4982,Florianópolis,2020-05-13,79.98805,0.0147
396,4988,Governador Celso Ramos,2020-05-13,143.77653,0.0
397,5038,Palhoça,2020-05-13,23.39221,0.0244
398,5071,Santo Amaro da Imperatriz,2020-05-13,21.20531,0.0
399,5082,São José,2020-05-13,27.18032,0.0147
400,5111,Águas Mornas,2020-05-13,15.24623,0.0
401,5118,Antônio Carlos,2020-05-14,220.59677,0.2105
402,5133,Biguaçu,2020-05-14,12.95225,0.0
403,5157,Florianópolis,2020-05-14,88.83194,0.0133
404,5163,Governador Celso Ramos,2020-05-14,143.77653,0.0
405,5213,Palhoça,2020-05-14,26.24492,0.0217
406,5246,Santo Amaro da Imperatriz,2020-05-14,16.96425,0.0
407,5257,São José,2020-05-14,31.17743,0.0128
408,5287,Águas Mornas,2020-05-14,30.49245,0.0
409,5294,Antônio Carlos,2020-05-15,220.59677,0.2105
410,5309,Biguaçu,2020-05-15,17.26967,0.0
411,5333,Florianópolis,2020-05-15,91.58337,0.0129
412,5339,Governador Celso Ramos,2020-05-15,143.77653,0.0
413,5390,Palhoça,2020-05-15,27.95655,0.0204
414,5423,Santo Amaro da Imperatriz,2020-05-15,21.20531,0.0
415,5434,São José,2020-05-15,33.17598,0.012
416,5464,Águas Mornas,2020-05-15,30.49245,0.0
417,5471,Antônio Carlos,2020-05-16,208.98642,0.2222
418,5486,Biguaçu,2020-05-16,17.26967,0.0
419,5510,Florianópolis,2020-05-16,92.95909,0.0127
420,5516,Governador Celso Ramos,2020-05-16,143.77653,0.0
421,5567,Palhoça,2020-05-16,28.52709,0.02
422,5600,Santo Amaro da Imperatriz,2020-05-16,16.96425,0.0
423,5611,São José,2020-05-16,35.57424,0.0112
424,5642,Águas Mornas,2020-05-16,30.49245,0.0
425,5649,Antônio Carlos,2020-05-17,208.98642,0.2222
426,5665,Biguaçu,2020-05-17,18.7088,0.0
427,5689,Florianópolis,2020-05-17,92.95909,0.0127
428,5695,Governador Celso Ramos,2020-05-17,143.77653,0.0
429,5747,Palhoça,2020-05-17,29.66817,0.0192
430,5780,Santo Amaro da Imperatriz,2020-05-17,16.96425,0.0
431,5791,São José,2020-05-17,35.57424,0.0112
432,5822,Águas Mornas,2020-05-17,30.49245,0.0
433,5830,Antônio Carlos,2020-05-18,208.98642,0.2222
434,5846,Biguaçu,2020-05-18,20.14794,0.0
435,5871,Florianópolis,2020-05-18,97.28276,0.0121
436,5877,Governador Celso Ramos,2020-05-18,143.77653,0.0
437,5929,Palhoça,2020-05-18,33.661970000000004,0.0169
438,5964,Santo Amaro da Imperatriz,2020-05-18,16.96425,0.0
439,5975,São José,2020-05-18,35.57424,0.0112
440,6006,Águas Mornas,2020-05-18,30.49245,0.0
441,6014,Antônio Carlos,2020-05-19,208.98642,0.2222
442,6030,Biguaçu,2020-05-19,20.14794,0.0
443,6055,Florianópolis,2020-05-19,101.9995,0.0116
444,6061,Governador Celso Ramos,2020-05-19,143.77653,0.0
445,6115,Palhoça,2020-05-19,35.94413,0.0159
446,6150,Santo Amaro da Imperatriz,2020-05-19,16.96425,0.0
447,6161,São José,2020-05-19,38.77193,0.0103
448,6192,Águas Mornas,2020-05-19,30.49245,0.0
449,6200,Antônio Carlos,2020-05-20,208.98642,0.2222
450,6216,Biguaçu,2020-05-20,20.14794,0.0
451,6241,Florianópolis,2020-05-20,102.98216,0.0115
452,6247,Governador Celso Ramos,2020-05-20,143.77653,0.0
453,6301,Palhoça,2020-05-20,37.08522,0.0154
454,6336,Santo Amaro da Imperatriz,2020-05-20,21.20531,0.0
455,6347,São José,2020-05-20,39.17164,0.0102
456,6379,Águas Mornas,2020-05-20,30.49245,0.0
457,6387,Antônio Carlos,2020-05-21,208.98642,0.2222
458,6403,Biguaçu,2020-05-21,20.14794,0.0
459,6428,Florianópolis,2020-05-21,103.17869,0.0114
460,6434,Governador Celso Ramos,2020-05-21,143.77653,0.0
461,6489,Palhoça,2020-05-21,41.64955,0.0137
462,6524,Santo Amaro da Imperatriz,2020-05-21,21.20531,0.0
463,6535,São José,2020-05-21,39.17164,0.0204
464,6567,Águas Mornas,2020-05-21,30.49245,0.0
465,6575,Antônio Carlos,2020-05-22,174.15535,0.2667
466,6591,Biguaçu,2020-05-22,24.46536,0.0
467,6616,Florianópolis,2020-05-22,138.55424,0.0085
