,city,city_ibge_code,date,new_confirmed,new_deaths,latitude,longitude
2802,Antônio Carlos,4201208.0,2020-04-29,-1,0,-27.5191,-48.766000000000005
2814,Biguaçu,4202305.0,2020-04-29,0,0,-27.496,-48.6598
2829,Florianópolis,4205407.0,2020-04-29,2,0,-27.5945,-48.5477
2834,Governador Celso Ramos,4206009.0,2020-04-29,0,0,-27.3172,-48.5576
2871,Palhoça,4211900.0,2020-04-29,0,0,-27.6455,-48.6697
2895,Santo Amaro da Imperatriz,4215703.0,2020-04-29,-1,0,-27.6852,-48.7813
2904,São José,4216602.0,2020-04-29,0,0,-27.6136,-48.6366
2927,Águas Mornas,4200606.0,2020-04-29,0,0,-27.6963,-48.8243
2931,Antônio Carlos,4201208.0,2020-04-30,1,0,-27.5191,-48.766000000000005
2943,Biguaçu,4202305.0,2020-04-30,0,0,-27.496,-48.6598
2958,Florianópolis,4205407.0,2020-04-30,78,0,-27.5945,-48.5477
2964,Governador Celso Ramos,4206009.0,2020-04-30,2,0,-27.3172,-48.5576
3003,Palhoça,4211900.0,2020-04-30,4,0,-27.6455,-48.6697
3027,Santo Amaro da Imperatriz,4215703.0,2020-04-30,1,0,-27.6852,-48.7813
3036,São José,4216602.0,2020-04-30,3,0,-27.6136,-48.6366
3060,Águas Mornas,4200606.0,2020-04-30,1,0,-27.6963,-48.8243
3064,Antônio Carlos,4201208.0,2020-05-01,-4,0,-27.5191,-48.766000000000005
3076,Biguaçu,4202305.0,2020-05-01,0,0,-27.496,-48.6598
3091,Florianópolis,4205407.0,2020-05-01,-94,0,-27.5945,-48.5477
3097,Governador Celso Ramos,4206009.0,2020-05-01,-2,0,-27.3172,-48.5576
3136,Palhoça,4211900.0,2020-05-01,-3,0,-27.6455,-48.6697
3160,Santo Amaro da Imperatriz,4215703.0,2020-05-01,-1,0,-27.6852,-48.7813
3169,São José,4216602.0,2020-05-01,-9,0,-27.6136,-48.6366
3193,Águas Mornas,4200606.0,2020-05-01,0,0,-27.6963,-48.8243
3198,Antônio Carlos,4201208.0,2020-05-02,0,1,-27.5191,-48.766000000000005
3211,Biguaçu,4202305.0,2020-05-02,0,0,-27.496,-48.6598
3226,Florianópolis,4205407.0,2020-05-02,6,0,-27.5945,-48.5477
3232,Governador Celso Ramos,4206009.0,2020-05-02,1,0,-27.3172,-48.5576
3273,Palhoça,4211900.0,2020-05-02,1,0,-27.6455,-48.6697
3299,Santo Amaro da Imperatriz,4215703.0,2020-05-02,0,0,-27.6852,-48.7813
3308,São José,4216602.0,2020-05-02,8,0,-27.6136,-48.6366
3332,Águas Mornas,4200606.0,2020-05-02,0,0,-27.6963,-48.8243
3337,Antônio Carlos,4201208.0,2020-05-03,1,0,-27.5191,-48.766000000000005
3350,Biguaçu,4202305.0,2020-05-03,0,0,-27.496,-48.6598
3366,Florianópolis,4205407.0,2020-05-03,21,0,-27.5945,-48.5477
3372,Governador Celso Ramos,4206009.0,2020-05-03,16,0,-27.3172,-48.5576
3414,Palhoça,4211900.0,2020-05-03,0,0,-27.6455,-48.6697
3441,Santo Amaro da Imperatriz,4215703.0,2020-05-03,0,0,-27.6852,-48.7813
3450,São José,4216602.0,2020-05-03,-1,0,-27.6136,-48.6366
3475,Águas Mornas,4200606.0,2020-05-03,0,0,-27.6963,-48.8243
3480,Antônio Carlos,4201208.0,2020-05-04,1,0,-27.5191,-48.766000000000005
3494,Biguaçu,4202305.0,2020-05-04,0,0,-27.496,-48.6598
3510,Florianópolis,4205407.0,2020-05-04,6,1,-27.5945,-48.5477
3516,Governador Celso Ramos,4206009.0,2020-05-04,0,0,-27.3172,-48.5576
3559,Palhoça,4211900.0,2020-05-04,3,0,-27.6455,-48.6697
3589,Santo Amaro da Imperatriz,4215703.0,2020-05-04,0,0,-27.6852,-48.7813
3598,São José,4216602.0,2020-05-04,1,0,-27.6136,-48.6366
3624,Águas Mornas,4200606.0,2020-05-04,0,0,-27.6963,-48.8243
3629,Antônio Carlos,4201208.0,2020-05-05,3,0,-27.5191,-48.766000000000005
3644,Biguaçu,4202305.0,2020-05-05,0,0,-27.496,-48.6598
3664,Florianópolis,4205407.0,2020-05-05,16,0,-27.5945,-48.5477
3670,Governador Celso Ramos,4206009.0,2020-05-05,-1,0,-27.3172,-48.5576
3715,Palhoça,4211900.0,2020-05-05,-1,0,-27.6455,-48.6697
3746,Santo Amaro da Imperatriz,4215703.0,2020-05-05,2,0,-27.6852,-48.7813
3755,São José,4216602.0,2020-05-05,2,0,-27.6136,-48.6366
3782,Águas Mornas,4200606.0,2020-05-05,-1,0,-27.6963,-48.8243
3787,Antônio Carlos,4201208.0,2020-05-06,1,0,-27.5191,-48.766000000000005
3802,Biguaçu,4202305.0,2020-05-06,1,0,-27.496,-48.6598
3823,Florianópolis,4205407.0,2020-05-06,6,0,-27.5945,-48.5477
3829,Governador Celso Ramos,4206009.0,2020-05-06,0,0,-27.3172,-48.5576
3874,Palhoça,4211900.0,2020-05-06,0,0,-27.6455,-48.6697
3905,Santo Amaro da Imperatriz,4215703.0,2020-05-06,0,0,-27.6852,-48.7813
3914,São José,4216602.0,2020-05-06,3,0,-27.6136,-48.6366
